step,time,x0,x1,x2,x3,x4,x5,xhat0,xhat1,xhat2,xhat3,xhat4,xhat5
0,0.0000,0.0001,0.0000,0.0300,0.0059,0.0000,0.0000,-0.0154,0.0375,0.0049,-0.0653,0.2937,0.0043
1,0.0200,0.0002,-0.0004,0.0307,0.0120,-0.0444,0.0681,-0.1521,-0.0189,0.0203,-0.6605,-0.2350,0.0853
2,0.0400,0.0005,-0.0010,0.0400,0.0191,-0.0102,0.8601,-0.1318,0.0035,0.0629,-0.4828,0.0090,0.9065
3,0.0600,0.0010,-0.0012,0.0525,0.0290,-0.0118,0.3954,-0.1847,0.0143,0.0785,-0.6614,0.0908,0.4436
4,0.0800,0.0017,-0.0016,0.0623,0.0410,-0.0259,0.5781,-0.0342,0.0078,0.0753,0.0771,0.0124,0.6140
5,0.1000,0.0026,-0.0021,0.0634,0.0546,-0.0285,-0.4637,0.0750,-0.0112,0.0946,0.5861,-0.1405,-0.4124
6,0.1200,0.0038,-0.0025,0.0453,0.0667,-0.0080,-1.3482,-0.0476,-0.0555,0.0430,-0.0231,-0.4462,-1.3273
7,0.1400,0.0053,-0.0020,0.0298,0.0751,0.0593,-0.1995,-0.3804,-0.0882,0.0289,-1.5040,-0.5706,-0.1779
8,0.1600,0.0068,0.0001,0.0486,0.0837,0.1474,2.0828,-0.4552,-0.1022,0.0472,-1.6979,-0.5094,2.1036
9,0.1800,0.0086,0.0038,0.0931,0.0994,0.2288,2.3653,-0.4065,-0.1409,0.1050,-1.3058,-0.6576,2.3975
10,0.2000,0.0108,0.0095,0.1321,0.1238,0.3349,1.5296,-0.3094,-0.0648,0.1380,-0.7352,0.1383,1.5560
11,0.2200,0.0135,0.0161,0.1527,0.1543,0.3237,0.5354,-0.3613,-0.0122,0.1682,-0.8671,0.5182,0.5698
12,0.2400,0.0169,0.0218,0.1637,0.1877,0.2545,0.5645,-0.1566,-0.0160,0.1583,0.1443,0.3438,0.5798
13,0.2600,0.0210,0.0265,0.1610,0.2226,0.2096,-0.8375,-0.1161,0.0565,0.1547,0.3417,0.8158,-0.8231
14,0.2800,0.0258,0.0295,0.1412,0.2550,0.0919,-1.1432,-0.1447,0.1612,0.1301,0.2069,1.3980,-1.1334
15,0.3000,0.0312,0.0292,0.1215,0.2836,-0.1175,-0.8271,-0.1004,0.1762,0.1076,0.4070,1.1043,-0.8199
16,0.3200,0.0371,0.0252,0.1032,0.3088,-0.2886,-0.9983,-0.1449,0.1310,0.1079,0.2023,0.4199,-0.9749
17,0.3400,0.0435,0.0187,0.0860,0.3306,-0.3612,-0.7194,-0.3130,0.1742,0.0708,-0.5637,0.6252,-0.7140
18,0.3600,0.0502,0.0104,0.0850,0.3505,-0.4668,0.6155,-0.3828,0.1823,0.0930,-0.7967,0.4933,0.6413
19,0.3800,0.0574,0.0002,0.0999,0.3723,-0.5555,0.8781,-0.1209,0.1690,0.0780,0.4441,0.2309,0.8771
20,0.4000,0.0651,-0.0114,0.1004,0.3964,-0.6068,-0.8273,-0.0060,0.1883,0.0983,0.9478,0.2983,-0.8108
21,0.4200,0.0732,-0.0242,0.0748,0.4179,-0.6696,-1.7342,0.0246,0.1125,0.0816,1.0222,-0.3997,-1.7102
22,0.4400,0.0817,-0.0372,0.0395,0.4333,-0.6284,-1.8037,-0.1300,0.1459,0.0394,0.2453,-0.0376,-1.7861
23,0.4600,0.0904,-0.0499,0.0168,0.4428,-0.6404,-0.4617,-0.1021,0.1188,0.0016,0.3423,-0.2547,-0.4578
24,0.4800,0.0993,-0.0625,0.0085,0.4499,-0.6197,-0.3730,-0.0775,0.1418,-0.0030,0.4238,-0.0161,-0.3658
25,0.5000,0.1083,-0.0750,-0.0000,0.4555,-0.6342,-0.4765,-0.1778,0.1209,-0.0107,-0.0642,-0.1900,-0.4688
26,0.5200,0.1175,-0.0876,-0.0021,0.4600,-0.6226,0.2696,-0.1240,0.0934,0.0053,0.1923,-0.3650,0.2931
27,0.5400,0.1267,-0.0996,-0.0012,0.4650,-0.5838,-0.1804,0.0698,0.1453,0.0123,1.0481,0.1337,-0.1519
28,0.5600,0.1359,-0.1117,-0.0180,0.4688,-0.6191,-1.4946,0.1187,0.1356,0.0088,1.1829,0.0042,-1.4548
29,0.5800,0.1453,-0.1242,-0.0503,0.4676,-0.6357,-1.7372,0.1527,0.0147,-0.0300,1.2226,-0.9575,-1.7039
30,0.6000,0.1545,-0.1356,-0.0839,0.4599,-0.5070,-1.6241,0.2960,-0.0547,-0.0362,1.7645,-1.2315,-1.5672
31,0.6200,0.1636,-0.1440,-0.1244,0.4455,-0.3328,-2.4303,0.4320,-0.0815,-0.0844,2.1984,-1.0882,-2.3812
32,0.6400,0.1722,-0.1491,-0.1775,0.4219,-0.1751,-2.8764,0.5258,-0.0327,-0.1497,2.3914,-0.3910,-2.8389
33,0.6600,0.1803,-0.1521,-0.2351,0.3874,-0.1180,-2.8796,0.1434,-0.0635,-0.2170,0.4249,-0.5180,-2.8514
34,0.6800,0.1876,-0.1536,-0.2608,0.3441,-0.0399,0.3104,0.0829,-0.0298,-0.2632,0.0571,-0.1009,0.3200
35,0.7000,0.1940,-0.1543,-0.2460,0.3006,-0.0227,1.1654,0.3080,-0.0143,-0.2394,1.0175,0.0519,1.1828
36,0.7200,0.1995,-0.1548,-0.2380,0.2601,-0.0281,-0.3610,0.3773,-0.0749,-0.2424,1.1851,-0.4356,-0.3536
37,0.7400,0.2042,-0.1546,-0.2481,0.2193,0.0401,-0.6510,0.3515,-0.1434,-0.2382,0.9272,-0.8404,-0.6311
38,0.7600,0.2081,-0.1525,-0.2580,0.1764,0.1714,-0.3399,0.2935,-0.1794,-0.2558,0.5332,-0.8693,-0.3272
39,0.7800,0.2111,-0.1477,-0.2582,0.1326,0.3109,0.3175,0.4419,-0.2118,-0.2601,1.0987,-0.8583,0.3264
40,0.8000,0.2132,-0.1401,-0.2600,0.0892,0.4527,-0.4922,0.5736,-0.1843,-0.2858,1.5244,-0.3782,-0.5046
41,0.8200,0.2145,-0.1303,-0.2751,0.0441,0.5259,-1.0232,0.6092,-0.1152,-0.2841,1.5044,0.2893,-1.0204
42,0.8400,0.2148,-0.1200,-0.2960,-0.0045,0.5000,-1.0655,0.5765,-0.0199,-0.3013,1.1705,0.9655,-1.0596
43,0.8600,0.2141,-0.1113,-0.3119,-0.0567,0.3709,-0.5288,0.4023,0.0298,-0.3187,0.2269,1.0839,-0.5242
44,0.8800,0.2124,-0.1054,-0.3079,-0.1103,0.2198,0.9306,0.1320,0.1745,-0.3426,-1.0826,1.9075,0.9104
45,0.9000,0.2096,-0.1038,-0.2684,-0.1595,-0.0605,3.0210,0.1975,0.2321,-0.3137,-0.7607,1.8008,2.9918
46,0.9200,0.2058,-0.1078,-0.2135,-0.1986,-0.3331,2.4725,-0.0879,0.2308,-0.2354,-2.0064,1.2577,2.4644
47,0.9400,0.2014,-0.1164,-0.1499,-0.2264,-0.5315,3.8877,-0.2038,0.2131,-0.1554,-2.3722,0.7396,3.8942
48,0.9600,0.1966,-0.1283,-0.0702,-0.2397,-0.6573,4.0800,0.0828,0.1422,-0.0700,-0.8940,-0.0467,4.0915
49,0.9800,0.1917,-0.1415,-0.0142,-0.2388,-0.6677,1.5161,0.0199,0.1379,-0.0453,-1.1245,-0.0821,1.4998
50,1.0000,0.1869,-0.1549,0.0179,-0.2301,-0.6727,1.7019,0.0096,0.2007,0.0068,-1.0609,0.4172,1.7035
51,1.0200,0.1823,-0.1692,0.0485,-0.2148,-0.7531,1.3574,0.1746,0.1590,0.0512,-0.2132,-0.0488,1.3711
52,1.0400,0.1781,-0.1844,0.0610,-0.1950,-0.7652,-0.1118,0.2024,0.1329,0.0418,-0.0742,-0.2565,-0.1176
53,1.0600,0.1743,-0.1995,0.0570,-0.1747,-0.7459,-0.2864,0.2485,0.0913,0.0440,0.1510,-0.5240,-0.2867
54,1.0800,0.1710,-0.2138,0.0478,-0.1555,-0.6853,-0.6349,0.4227,0.0134,0.0272,0.9194,-0.9953,-0.6419
55,1.1000,0.1679,-0.2262,0.0246,-0.1392,-0.5513,-1.6875,0.5076,-0.1008,0.0023,1.2190,-1.6090,-1.6958
56,1.1200,0.1652,-0.2349,-0.0128,-0.1290,-0.3203,-2.0467,0.4075,-0.0171,-0.0282,0.6632,-0.4899,-2.0489
